
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :11/28/2023
Analyst: Georgia Institute of Technology                             Model revision date:11/28/2023

Replication ended at time      : 720.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Trunk Line Fraud or Credit Check Shift 3    1.0000     (Insuf)    1.0000     1.0000          3    
Trunk Line Fraud or Credit Check Shift 2    1.0000     (Insuf)    1.0000     1.0000        115    
Trunk Line Fraud or Credit Check Shift 1    1.0000     .00000     1.0000     1.0000        481    
Trunk Line Lost or Stolen Card Shift 3          --         --         --         --          0
Trunk Line Lost or Stolen Card Shift 2      1.0000     (Insuf)    1.0000     1.0000         12    
Trunk Line Lost or Stolen Card Shift 1      1.0000     (Insuf)    1.0000     1.0000         48    
Trunk Line Payment Balance Check Shift 3    1.0000     (Insuf)    1.0000     1.0000          2    
Trunk Line Payment Balance Check Shift 2    1.0000     .00000     1.0000     1.0000       1087    
Trunk Line Payment Balance Check Shift 1    1.0000     .00000     1.0000     1.0000       4497    
Total Self Service Simple Shift 2           1.0000     .00000     1.0000     1.0000       8131    
Total Self Service Simple Shift 3           1.0000     .00000     1.0000     1.0000       2872    
Total Self Service Simple Shift 1           1.0000     .00000     1.0000     1.0000       9727    
Entity Closure Specialist Call.VATime       .72386     .06936     .25993     4.5552        457    
Entity Closure Specialist Call.NVATime      .00000     .00000     .00000     .00000        457    
Entity Closure Specialist Call.WaitTime     .24152     .09236     .00000     4.8303        457    
Entity Closure Specialist Call.TranTime     .00000     .00000     .00000     .00000        457    
Entity Closure Specialist Call.OtherTime    .00000     .00000     .00000     .00000        457    
Entity Closure Specialist Call.TotalTime    .96537     .11129     .26200     5.7553        457    
Entity Closure Specialist Call.VACost       11.989     .35376     5.7041     29.399        457    
Entity Closure Specialist Call.NVACost      .00000     .00000     .00000     .00000        457    
Entity Closure Specialist Call.WaitCost     .00000     .00000     .00000     .00000        457    
Entity Closure Specialist Call.TranCost     .00000     .00000     .00000     .00000        457    
Entity Closure Specialist Call.OtherCost    .00000     .00000     .00000     .00000        457    
Entity Closure Specialist Call.TotalCost    11.989     .35376     5.7041     29.399        457    
Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
Entity 1.VACost                                 --         --         --         --          0
Entity 1.NVACost                                --         --         --         --          0
Entity 1.WaitCost                               --         --         --         --          0
Entity 1.TranCost                               --         --         --         --          0
Entity 1.OtherCost                              --         --         --         --          0
Entity 1.TotalCost                              --         --         --         --          0
Entity Fraud Credit Specialist Call.VATime  .46554     .02986     .10152     4.1483       1942    
Entity Fraud Credit Specialist Call.NVATim  .00000     .00000     .00000     .00000       1942    
Entity Fraud Credit Specialist Call.WaitTi  .13496     .02955     .00000     3.6418       1942    
Entity Fraud Credit Specialist Call.TranTi  .00000     .00000     .00000     .00000       1942    
